"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"#CON003","HDMI TO VGA + YRG CONVERTER",1700.0000,0.00,"ADA","ADAPTORS","HDMI","MLINK"
"001-C02-003-10M","10M BLISTER PACK CABLE RG6U",66.5800,0.00,"CCT","CCTV","",""
"001-R15-432","SATELITE DSTV POWER SUPPLY",83.0800,0.00,"SAT","SATELITE TV CONPONENTS","TV","GENERIC"
"001-R15-440","DSTV UNIVERSAL REMOTE",101.5400,0.00,"SAT","SATELITE TV CONPONENTS","","OEM"
"001-R15-446","DSTV REMOTE R8",61.5400,0.00,"SAT","SATELITE TV CONPONENTS","","OEM"
"00216740","NORTON 360 DELUXE 3 DEVICES 1 USER 25GB",280.0000,0.00,"SW","SOFTWARE","","NORTON"
"009-R15-445","DSTV REMOTE R8",192.3100,0.00,"SAT","SATELITE TV CONPONENTS","","OEM"
"01-B","RGB MICROPHONE",343.7500,0.00,"AC","ACCESSORIES","","M-LINK"
"01011475","EPSON COMPATIBLE FX2190 NYLON BLK RIBBON",116.1700,0.00,"GCA","GENERIC CARTRIDGES","INK","EPSON"
"012","GIGABYTE NVIDIA GEFORCE RTX 5060 WINDFOR",9370.0800,0.00,"","","",""
"025L","SM BABY SCHOOL BAG",100.0000,0.00,"NB","NOTEBOOK ACCESORIES","RAND","MLINK"
"04010101","MICROWORLD MEQ-037 WIRELESS MOUSE BLACK",137.0100,0.00,"MS","MOUSE","","MICROWORLD"
"04081-00320900 OW","ASUS CAMERA HD RGB/IR ARRAY MIC CR",668.3300,0.00,"CCT","CCTV","CAM","ASUS"
"062658","DURACELL 6PACK HEARING AID 312 BATTERIES",133.9500,1.00,"CON","CONSUMABLES","BAT","DURACELL"
"0727C067AA","CANON MG2541S GREY ALL-IN-ONE INKJET PRI",713.2500,0.00,"PR","PRINTERS","INK","CANON"
"0A001-00081400 OW","ADAPTER 150W 20V 3P(6PHI)",1017.1400,0.00,"PSU","POWER SUPPLY UNITS","",""
"1 TO 4 PWM","FAN SPLITTER 4 PIN ADAPTER",900.0000,0.00,"CAB","CABLES","","MICROWORLD"
"1.0.01.04.38023","DAHUA 4MP IR FIXED-FOCAL BULLET WIZSENSE",1910.0000,0.00,"CCT","CCTV","",""
"10/10A","6WAY (SG-3+3/ 6NS2) - MULTIPLUG",96.4600,0.00,"LP","LIGHTNING PROTECTORS","MPLUG","SELECTRIX"
"100-  100001590BOX","AMD RYZEN 7 8700F 7 8000 SERIES 8-CORE/",5907.1400,0.00,"CPU","PROCESSORS","RYZEN7","AMD"
"100-100000065BOX","AMD RYZEN 5 5600X 6-CORE 3.7GHZ AM4",3712.0000,0.00,"CPU","PROCESSORS","RYZEN5","AMD"
"100-100000144BOX","AMD RYZEN 3 4300G 6-CORE 3.8GHZ AM4",2104.0000,0.00,"CPU","PROCESSORS","",""
"100-100000263BOX","AMD RYZEN 7 5700G 8-CORE 4.6GHZ AM4",4398.6700,0.00,"CPU","PROCESSORS","RYZEN7","AMD"
"100-100000457BOX","AMD RYZEN 5 5500 6-CORE3.6GHZ AM4",1938.6700,0.00,"CPU","PROCESSORS","RYZEN5","AMD"
"100-100000510BOX","AMD RYZEN 3 4100 4-CORE 3.8GHZ AM4",1732.0000,0.00,"CPU","PROCESSORS","",""
"100-100000591WOF","AMD RYZEN 7 7700 AM5 CPU; 8 CORE/16 THRE",7552.0000,0.00,"CPU","PROCESSORS","",""
"100-100000644BOX","AMD RYZEN 5 4500 7NM SKT AM4 CPU 6 CORE",1742.6700,0.00,"CPU","PROCESSORS","RYZEN5","AMD"
"100-100000926WOF","RYZEN 7 8C/16T 5700X 3.4/4.6GHZ",4630.6700,0.00,"CPU","PROCESSORS","",""
"100-100000927BOX","AMD RYZEN 5 5600 7NM SKT AM4 CPU",2413.3300,0.00,"CPU","PROCESSORS","","AMD"
"100-100001084WOF","AMD RYZEN™ 7 9800X3D SERIES PROCESSOR",10678.6700,0.00,"CPU","PROCESSORS","","RYZEN"
"100-100001236BOX","AMD AM5 RYZEN 7 8700G 4.2GHZ 8-C",7233.3300,0.00,"CPU","PROCESSORS","",""
"100-100001277WOF","AMD RYZEN 9 9950X 16-CORE 4.3GHZ AM5 CPU",16474.0200,0.00,"CPU","PROCESSORS","","AMD"
"100-100001404WOF","AMD AM5 RYZEN 7 9700X 3.8GHZ 8-C",8502.3600,0.00,"CPU","PROCESSORS","","RYZEN"
"100-100001405WOF","AMD AM5 RYZEN 5 9600X 3.9GHZ 6-C",4897.7800,0.00,"CPU","PROCESSORS","","AMD"
"100-100001489BOX","AMD RYZEN 5 5500GT 6-CORE 3.6GHZ AM4 CPU",2936.0000,0.00,"CPU","PROCESSORS","",""
"100-100001585BOX","AMD RYZEN 5 5600XT 6-CORE 3.7GHZ AM4 CPU",3680.0000,0.00,"CPU","PROCESSORS","RYZEN5","AMD"
"100-100001591BOX","AMD RYZEN 5 8400F X4NM TSMC AM5 CPU",3981.1000,0.00,"CPU","PROCESSORS","","AMD"
"101IN900GW00","INPHIC WIRED BT5 2.4GHZ RECHARGEABLE MS",347.8300,0.00,"MS","MOUSE","","MLINK"
"101X2P00G000","INPHIC 2.4G+ BT 5.0/4.0 RECHARGEABLE MS",347.8300,0.00,"MS","MOUSE","","MLINK"
"101X5000T000","INPHIC CRYSTAL TRANSPARENT 2.4G MOUSE",286.9500,2.00,"MS","MOUSE","","MLINK"
